Product Name,Price,Brand,Link,Image Source
Pocket Shirt Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=f21&category=dress&productid=2000141501,http://www.forever21.com/images/default_330/00141501-01.jpg
Two-Pocket Shift Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?BR=f21&Category=promo-midi-maxi-under&ProductID=2000157313&VariantID=,http://www.forever21.com/images/default_330/00157313-02.jpg
Textured Pocket Shirt Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000155555,http://www.forever21.com/images/default_330/00155555-01.jpg
Contemporary Striped Pocket Shirt Dress,$27.90,forever21.com,http://www.forever21.com/Product/product.aspx?br=f21&category=dress_shirt&productid=2000155942,http://www.forever21.com/images/default_330/00155942-02.jpg
Two-Pocket Mini Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000168355,http://www.forever21.com/images/default_330/00168355-04.jpg
Pocket Shift Dress,$22.90,forever21.com,http://www.forever21.com/Product/product.aspx?br=f21&category=dress&productid=2000164317,http://www.forever21.com/images/default_330/00164317-02.jpg
Two-Pocket Midi Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000156444,http://www.forever21.com/images/default_330/00156444-01.jpg
Faux Leather-Pocket Shift Dress,$19.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000184737,http://www.forever21.com/images/default_330/00184737-03.jpg
Contemporary Utility-Pocket Shift Dress,$22.90,forever21.com,http://www.forever21.com/Product/product.aspx?br=f21&category=dress&productid=2000157967,http://www.forever21.com/images/default_330/00157967-02.jpg
Plus Size Tartan Plaid Shirt Dress,$22.90,forever21.com,http://www.forever21.com/Product/product.aspx?br=f21&category=plus_size-dresses&productid=2002247743,http://www.forever21.com/images/default_330/02247743-02.jpg
Tartan Plaid Shirt Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000146344,http://www.forever21.com/images/default_330/00146344-01.jpg
Plaid Midi Shirt Dress,$24.90,forever21.com,http://www.forever21.com/Product/product.aspx?br=f21&category=dress&productid=2000146653,http://www.forever21.com/images/default_330/00146653-01.jpg
Cotton Utility Shirt Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?Br=F21&Category=dress&ProductID=2000167352&VariantID=,http://www.forever21.com/images/default_330/00167352-01.jpg
Belted Plaid Shirt Dress,$12.99,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000132585,http://www.forever21.com/images/default_330/00132585-02.jpg
Chambray Shift Dress,$29.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000142200,http://www.forever21.com/images/default_330/00142200-02.jpg
High-Slit Shirt Dress,$12.99,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=DRESS&productid=2000052768,http://www.forever21.com/images/default_330/00052768-03.jpg
Faded Plaid Shirt Dress,$34.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000096018,http://www.forever21.com/images/default_330/00096018-02.jpg
V-Neck Midi Dress,$24.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000145690,http://www.forever21.com/images/default_330/00145690-02.jpg
Plaid Flannel Shirt Dress,$19.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000141968,http://www.forever21.com/images/default_330/00141968-01.jpg
Snap-Button Denim Dress,$27.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=DRESS&productid=2000155262,http://www.forever21.com/images/default_330/00155262-01.jpg
Midi Shirt Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000143239,http://www.forever21.com/images/default_330/00143239-02.jpg
