Product Name,Price,Brand,Link,Image Source
Jacquard-patterned Dress,$29.99,hm.com,http://www.hm.com/us/product/85188?article=85188-C&cm_vc=SEARCH,"http://hm.com/us/http://lp.hm.com/hmprod?set=key[source],value[/model/2015/B00%200300693%20005%2047%200002.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=3&call=url[file:/product/subdepartment/mediumPlus]"
Jacquard-weave Dress,$49.99,hm.com,http://www.hm.com/us/product/12673?article=12673-B&cm_vc=SEARCH,"http://hm.com/us/http://lp.hm.com/hmprod?set=key[source],value[/model/2015/B00%200310356%20006%2086%203829.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=3&call=url[file:/product/subdepartment/mediumPlus]"
Jacquard-weave Dress,$49.99,hm.com,http://www.hm.com/us/product/12673?article=12673-C&cm_vc=SEARCH,"http://hm.com/us/http://lp.hm.com/hmprod?set=key[source],value[/model/2015/B00%200310356%20007%2051%200281.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=5&call=url[file:/product/subdepartment/mediumPlus]"
Jersey Dress,$29.99,hm.com,http://www.hm.com/us/product/20809?article=20809-B&cm_vc=SEARCH,"http://hm.com/us/http://lp.hm.com/hmprod?set=key[source],value[/model/2015/B00%200316456%20003%2041%202199.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=3&call=url[file:/product/subdepartment/mediumPlus]"
Sleeveless Dress,$34.99,hm.com,http://www.hm.com/us/product/12573?article=12573-B&cm_vc=SEARCH,"http://hm.com/us/http://lp.hm.com/hmprod?set=key[source],value[/model/2015/B00%200309811%20003%2026%200434.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=5&call=url[file:/product/subdepartment/mediumPlus]"
Jacquard-weave Dress,$49.99,hm.com,http://www.hm.com/us/product/12673?article=12673-A&cm_vc=SEARCH,"http://hm.com/us/http://lp.hm.com/hmprod?set=key[source],value[/model/2015/B00%200310356%20002%2047%201917.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=3&call=url[file:/product/subdepartment/mediumPlus]"
Textured Dress,$49.99,hm.com,http://www.hm.com/us/product/33109?article=33109-A&cm_vc=SEARCH,"http://hm.com/us/http://lp.hm.com/hmprod?set=key[source],value[/model/2015/B00%200337476%20001%2080%203793.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&call=url[file:/product/subdepartment/mediumPlus]"
Jersey Dress,$29.99,hm.com,http://www.hm.com/us/product/20809?article=20809-C&cm_vc=SEARCH,"http://hm.com/us/http://lp.hm.com/hmprod?set=key[source],value[/model/2015/B00%200316456%20004%2041%202214.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=4&call=url[file:/product/subdepartment/mediumPlus]"
Viscose Dress,$17.99,hm.com,http://www.hm.com/us/product/33280?article=33280-D&cm_vc=SEARCH,"http://hm.com/us/http://lp.hm.com/hmprod?set=key[source],value[/model/2015/B00%200332636%20004%2027%200025.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=5&call=url[file:/product/subdepartment/mediumPlus]"
Viscose Dress,$17.99,hm.com,http://www.hm.com/us/product/33280?article=33280-C&cm_vc=SEARCH,"http://hm.com/us/http://lp.hm.com/hmprod?set=key[source],value[/model/2015/B00%200332636%20003%2012%202671.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=3&call=url[file:/product/subdepartment/mediumPlus]"
